dut,tau_xwin,tau_s,vwin_discharged_start_avg_v,vwin_charged_start_avg_v,vwin_discharged_start_min_v,vwin_discharged_start_max_v,lock_discharged_start_avg_v,lock_charged_start_avg_v,lock_discharged_start_min_v,lock_discharged_start_max_v
as_drawn,0.60,4.001352e-09,3.22677e+00,3.30000e+00,3.22143e+00,3.23186e+00,1.93878e-07,1.76775e-09,-1.30790e-07,5.25188e-07
as_drawn,0.80,5.335136e-09,3.22678e+00,3.30000e+00,3.22143e+00,3.23187e+00,1.93861e-07,1.77595e-09,-1.56045e-07,5.43035e-07
as_drawn,0.95,6.335474e-09,3.22676e+00,3.30000e+00,3.22143e+00,3.23184e+00,1.93931e-07,1.79947e-09,-2.86974e-06,3.00022e-06
as_drawn,1.00,6.668920e-09,3.09587e+00,3.16662e+00,3.08610e+00,3.10500e+00,2.30951e-07,-3.08314e-09,-5.37242e-04,1.82951e-04
as_drawn,1.05,7.002366e-09,3.27867e-01,3.27867e-01,2.22121e-01,4.33956e-01,3.29999e+00,3.29999e+00,3.29420e+00,3.30028e+00
as_drawn,1.10,7.335812e-09,2.89615e-01,2.89615e-01,1.82574e-01,3.96996e-01,3.30000e+00,3.30000e+00,3.29468e+00,3.30031e+00
as_drawn,1.20,8.002704e-09,2.65796e-01,2.65796e-01,1.58315e-01,3.74179e-01,3.30000e+00,3.30000e+00,3.29530e+00,3.30032e+00
as_drawn,1.40,9.336488e-09,1.83028e-01,1.83028e-01,7.29671e-02,2.93885e-01,3.30000e+00,3.30000e+00,3.29681e+00,3.30021e+00
as_drawn,1.80,1.200406e-08,1.15385e-01,1.15385e-01,4.60428e-03,2.28136e-01,3.30000e+00,3.30000e+00,3.29754e+00,3.30010e+00
as_drawn,2.50,1.667230e-08,1.04723e-01,1.04723e-01,-2.86784e-03,2.17554e-01,3.30000e+00,3.30000e+00,3.29767e+00,3.30013e+00
schmitt_feedback_rewired,0.60,4.001352e-09,3.22639e+00,3.30000e+00,3.22103e+00,3.23150e+00,1.85901e-07,1.50182e-09,-2.56606e-07,6.27798e-07
schmitt_feedback_rewired,0.80,5.335136e-09,3.22640e+00,3.30000e+00,3.22103e+00,3.23152e+00,1.85889e-07,1.51316e-09,-2.73067e-07,6.23821e-07
schmitt_feedback_rewired,0.95,6.335474e-09,3.22638e+00,3.30000e+00,3.22103e+00,3.23149e+00,1.85964e-07,1.54595e-09,-3.47781e-06,3.93302e-06
schmitt_feedback_rewired,1.00,6.668920e-09,3.09547e+00,3.16662e+00,3.08567e+00,3.10462e+00,1.67623e-07,-1.13412e-08,-5.56687e-04,2.70477e-04
schmitt_feedback_rewired,1.05,7.002366e-09,3.27938e-01,3.27938e-01,2.22093e-01,4.34006e-01,3.30000e+00,3.30000e+00,3.29403e+00,3.30049e+00
schmitt_feedback_rewired,1.10,7.335812e-09,2.89656e-01,2.89656e-01,1.82546e-01,3.97057e-01,3.30000e+00,3.30000e+00,3.29452e+00,3.30047e+00
schmitt_feedback_rewired,1.20,8.002704e-09,2.65828e-01,2.65828e-01,1.58290e-01,3.74245e-01,3.30000e+00,3.30000e+00,3.29516e+00,3.30047e+00
schmitt_feedback_rewired,1.40,9.336488e-09,1.83038e-01,1.83040e-01,7.29297e-02,2.93941e-01,3.30000e+00,3.30000e+00,3.29671e+00,3.30031e+00
schmitt_feedback_rewired,1.80,1.200406e-08,1.15420e-01,1.15420e-01,4.59238e-03,2.28219e-01,3.30000e+00,3.30000e+00,3.29746e+00,3.30018e+00
schmitt_feedback_rewired,2.50,1.667230e-08,1.04766e-01,1.04766e-01,-2.86994e-03,2.17645e-01,3.30000e+00,3.30000e+00,3.29759e+00,3.30016e+00
xmpd_weakened,0.60,4.001352e-09,3.22690e+00,3.30000e+00,3.22157e+00,3.23198e+00,1.93611e-07,1.77366e-09,9.59098e-08,3.02774e-07
xmpd_weakened,0.80,5.335136e-09,3.22691e+00,3.30000e+00,3.22157e+00,3.23200e+00,1.93589e-07,1.77593e-09,8.86357e-08,3.01552e-07
xmpd_weakened,0.95,6.335474e-09,3.22689e+00,3.30000e+00,3.22157e+00,3.23197e+00,1.93642e-07,1.78257e-09,-6.79655e-07,1.05603e-06
xmpd_weakened,1.00,6.668920e-09,3.22641e+00,3.29952e+00,3.22111e+00,3.23150e+00,1.93540e-07,1.64567e-09,-1.41557e-04,1.23277e-04
xmpd_weakened,1.05,7.002366e-09,3.09429e+00,3.16655e+00,3.08447e+00,3.10348e+00,2.35450e-07,-3.08586e-09,-5.93744e-04,2.14932e-04
xmpd_weakened,1.10,7.335812e-09,3.04046e+00,3.11208e+00,3.02878e+00,3.05132e+00,3.92351e-07,1.79461e-08,-6.55516e-04,2.16557e-04
xmpd_weakened,1.20,8.002704e-09,3.01095e+00,3.08227e+00,2.99829e+00,3.02260e+00,6.32390e-07,5.27648e-08,-6.78300e-04,2.16073e-04
xmpd_weakened,1.40,9.336488e-09,2.89855e+00,2.96861e+00,2.88205e+00,2.91359e+00,8.54728e-06,1.33581e-06,-6.77943e-04,2.37905e-04
xmpd_weakened,1.80,1.200406e-08,2.49107e+00,2.55547e+00,2.46095e+00,2.51800e+00,1.37741e-02,7.63855e-03,1.08770e-02,1.76497e-02
xmpd_weakened,2.50,1.667230e-08,1.83372e+00,1.87185e+00,1.78246e+00,1.88346e+00,2.74531e-01,2.40521e-01,2.30054e-01,3.28089e-01
