kind,instance,corner,temp_c,w,l,m,value,source
R,XRPU(rhigh),res_typ,-40,0.5u,6u,1,2.297799e+04,ngspice-subckt
R,XRPU(rhigh),res_typ,27,0.5u,6u,1,1.974857e+04,ngspice-subckt
R,XRPU(rhigh),res_typ,125,0.5u,6u,1,1.569554e+04,ngspice-subckt
R,XRPU(rhigh),res_bcs,-40,0.5u,6u,1,1.732658e+04,ngspice-subckt
R,XRPU(rhigh),res_bcs,27,0.5u,6u,1,1.489143e+04,ngspice-subckt
R,XRPU(rhigh),res_bcs,125,0.5u,6u,1,1.183524e+04,ngspice-subckt
R,XRPU(rhigh),res_wcs,-40,0.5u,6u,1,2.862941e+04,ngspice-subckt
R,XRPU(rhigh),res_wcs,27,0.5u,6u,1,2.460571e+04,ngspice-subckt
R,XRPU(rhigh),res_wcs,125,0.5u,6u,1,1.955584e+04,ngspice-subckt
C,XCW(cap_cmim),cap_typ,-40,6u,6u,1,5.494724e-14,ngspice-subckt
C,XCW(cap_cmim),cap_typ,27,6u,6u,1,5.496000e-14,ngspice-subckt
C,XCW(cap_cmim),cap_typ,125,6u,6u,1,5.498045e-14,ngspice-subckt
C,XCW(cap_cmim),cap_bcs,-40,6u,6u,1,4.954849e-14,ngspice-subckt
C,XCW(cap_cmim),cap_bcs,27,6u,6u,1,4.956000e-14,ngspice-subckt
C,XCW(cap_cmim),cap_bcs,125,6u,6u,1,4.957844e-14,ngspice-subckt
C,XCW(cap_cmim),cap_wcs,-40,6u,6u,1,6.034598e-14,ngspice-subckt
C,XCW(cap_cmim),cap_wcs,27,6u,6u,1,6.036000e-14,ngspice-subckt
C,XCW(cap_cmim),cap_wcs,125,6u,6u,1,6.038245e-14,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_typ,-40,4u,4u,1,2.463428e-14,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_typ,27,4u,4u,1,2.464000e-14,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_typ,125,4u,4u,1,2.464917e-14,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_bcs,-40,4u,4u,1,2.223484e-14,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_bcs,27,4u,4u,1,2.224000e-14,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_bcs,125,4u,4u,1,2.224827e-14,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_wcs,-40,4u,4u,1,2.703372e-14,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_wcs,27,4u,4u,1,2.704000e-14,ngspice-subckt
C,XDW.XC1(cap_cmim),cap_wcs,125,4u,4u,1,2.705006e-14,ngspice-subckt
